번호,상위질문번호,카테고리,키워드,질문,답변,상위질문사용가능
80,79,Spring,URL 패턴,RESTful한 URL 구조란 무엇인가요?,"RESTful한 URL 구조는 자원의 의미를 URL에 표현하는 방식입니다. 예를 들어, /users는 사용자 목록을, /users/1은 특정 사용자 정보를 의미합니다.
HTTP 메서드(GET, POST, PUT, DELETE)와 함께 사용하여 자원에 대한 CRUD 작업을 직관적으로 수행할 수 있도록 설계됩니다.",TRUE
81,NULL,Spring,AOP,AOP란?,"공통의 관심 사항을 적용해서 발생하는 의존 관계의 복잡성과 코드 중복을 해소해줍니다.

각 클래스에서 공통 관심 사항을 구현한 모듈에 대한 의존관계를 갖기 보단, Aspect를 이용해 핵심 로직을 구현한 각 클래스에 공통 기능을 적용합니다.

간단한 설정만으로도 공통 기능을 여러 클래스에 적용할 수 있는 장점이 있으며 핵심 로직 코드를 수정하지 않고도 웹 애플리케이션의 보안, 로깅, 트랜잭션과 같은 공통 관심 사항을 AOP를 이용해 간단하게 적용할 수 있습니다.",TRUE
82,81,Spring,AOP,AOP를 적용할 때 발생할 수 있는 문제점은 무엇이 있을까요?,"AOP를 적용할 때 발생할 수 있는 문제점은 디버깅이 어려워질 수 있다는 점입니다. 핵심 로직과 공통 기능이 분리되기 때문에 문제가 발생했을 때 원인 파악이 어려울 수 있습니다.
또한, Aspect가 적용된 메서드를 호출할 때 추가적인 처리 시간이 들어 성능에 영향을 줄 수 있습니다. AOP 설정을 잘못하면 예상치 못한 동작을 유발할 수 있으므로 설정에 신경을 써야 합니다. 마지막으로, AOP를 과도하게 사용하면 코드 흐름을 파악하기 어려워지고 가독성이 떨어질 수 있습니다",TRUE
83,82,Spring,디자인패턴,AOP를 사용하지 않고 공통 관심 사항을 처리할 수 있는 다른 방법은 무엇인가요?,"디자인 패턴을 활용할 수 있습니다. 템플릿 메서드 패턴이나 데코레이터 패턴을 사용하면 공통 기능을 별도의 클래스나 메서드로 분리하여 각 클래스에서 해당 기능을 호출할 수 있습니다. 또한, 필터나 인터셉터를 사용하여 공통 관심 사항을 처리할 수 있습니다. 이러한 방식은 코드의 중복을 줄이고, 공통 기능을 별도로 관리할 수 있는 장점이 있습니다.",FALSE
84,NULL,Spring,DAO,DAO이란?,"DB에 데이터를 조회하거나 조작하는 기능들을 전담합니다.

Mybatis를 이용할 때는, mapper.xml에 쿼리문을 작성하고 이를 mapper 클래스에서 받아와 DAO에게 넘겨주는 식으로 구현합니다.",TRUE
85,84,Spring,DAO,DAO 패턴을 사용하는 이유는 무엇인가요?,"DAO(Data Access Object) 패턴을 사용하는 이유는 데이터베이스와 애플리케이션 간의 의존성을 줄이고, 데이터 접근 로직을 분리하여 유지보수성을 높이기 위해서입니다. DAO 패턴을 사용하면 데이터베이스와의 상호작용을 하나의 객체로 캡슐화하여 코드의 재사용성을 높이고, 다양한 데이터 소스(예: MySQL, Oracle 등)와의 변경을 애플리케이션 로직에 영향을 주지 않도록 할 수 있습니다. 또한, 테스트가 용이해지고, 데이터 처리 로직을 변경할 때 애플리케이션의 다른 부분에 미치는 영향을 최소화할 수 있습니다.",FALSE
86,85,Spring,DAO,DAO 패턴을 사용하면 코드의 재사용성이 어떻게 높아지나요?,"DAO 패턴을 사용하면 데이터베이스 접근 로직을 하나의 객체로 캡슐화하여, 동일한 데이터 처리 로직을 여러 곳에서 재사용할 수 있게 됩니다.
이를 통해 각 데이터베이스 작업을 분리된 메서드로 관리할 수 있어, 코드의 중복을 줄이고 유지보수를 쉽게 합니다. 또한, 데이터베이스 변경 시 DAO만 수정하면 되므로 애플리케이션의 다른 부분에 영향을 주지 않습니다.",TRUE
87,NULL,Spring,어노테이션,Annotation이란?,"소스코드에 @어노테이션의 형태로 표현하며 클래스, 필드, 메소드의 선언부에 적용할 수 있는 특정기능이 부여된 표현법을 말합니다.

애플리케이션 규모가 커질수록, xml 환경설정이 매우 복잡해지는데 이러한 어려움을 개선시키기 위해 자바 파일에 어노테이션을 적용해서 개발자가 설정 파일 작업을 할 때 발생시키는 오류를 최소화해주는 역할을 합니다.

어노테이션 사용으로 소스 코드에 메타데이터를 보관할 수 있고, 컴파일 타임의 체크뿐 아니라 어노테이션 API를 사용해 코드 가독성도 높여줍니다.",TRUE
88,87,Spring,어노테이션,자주 사용되는 표준 어노테이션에는 어떤 것들이 있나요?,"@Component: 클래스를 Spring의 컴포넌트로 정의하여 Spring 컨테이너가 관리하도록 합니다.
@Autowired: 의존성 주입을 자동으로 수행합니다. Spring이 자동으로 빈을 주입해 줍니다.
@Service: 비즈니스 로직을 처리하는 서비스 클래스를 나타내는 어노테이션으로, @Component의 특성을 가지며 서비스 레이어에서 사용됩니다.
@Repository: 데이터 접근을 처리하는 DAO 클래스를 나타내는 어노테이션으로, @Component의 특성을 가지며 데이터베이스와의 상호작용을 담당합니다.
@Controller: Spring MVC에서 요청을 처리하는 컨트롤러 클래스를 정의하는 어노테이션입니다.
@RestController: @Controller와 @ResponseBody를 결합한 어노테이션으로, RESTful 웹 서비스에서 JSON 형식으로 응답을 반환합니다.
@RequestMapping: HTTP 요청을 메서드에 매핑하는 어노테이션으로, GET, POST, PUT 등 다양한 HTTP 메서드를 지정할 수 있습니다.",FALSE
89,88,Spring,어노테이션,@RestController와 @Controller의 차이점은 무엇인가요?,"@Controller는 주로 HTML 페이지를 반환하는데 사용되며, 서버 사이드 렌더링을 지원합니다. 
반면, @RestController는 JSON이나 XML 형식의 데이터를 반환하는 RESTful 웹 서비스에서 사용됩니다. @RestController는 @Controller와 @ResponseBody를 결합한 형태로, 반환된 데이터가 자동으로 HTTP 응답 본문에 포함됩니다.",TRUE
90,NULL,Spring,JDBC,Spring JDBC란?,"데이터베이스 테이블과, 자바 객체 사이의 단순한 매핑을 간단한 설정을 통해 처리하는 것

기존의 JDBC에서는 구현하고 싶은 로직마다 필요한 SQL문이 모두 달랐고, 이에 필요한 Connection, PrepareStatement, ResultSet 등을 생성하고 Exception 처리도 모두 해야하는 번거러움이 존재했습니다.

Spring에서는 JDBC와 ORM 프레임워크를 직접 지원하기 때문에 따로 작성하지 않아도 모두 다 처리해주는 장점이 있습니다.",TRUE
91,90,Spring,자동 처리,Spring에서 자동으로 처리해주는 기능에 대해 더 자세히 설명해 주세요.,"Spring은 데이터베이스 연결 관리, 트랜잭션 처리, 예외 처리 등을 자동으로 처리해줍니다.
 예를 들어, @Transactional 어노테이션을 사용하면 트랜잭션의 시작과 종료를 자동으로 관리해주고, JDBC 템플릿을 사용하면 SQL 쿼리 실행과 예외 처리를 자동으로 해줍니다. 또한, Spring은 ORM 프레임워크와 통합되어 객체와 데이터베이스 간의 매핑을 자동으로 처리하며, IoC 컨테이너를 통해 의존성 주입도 자동으로 해줍니다. 이를 통해 개발자는 반복적인 작업을 줄이고, 코드의 가독성과 유지보수성을 높일 수 있습니다.",FALSE
92,91,Spring,자동 처리,@Transactional 어노테이션은 어떻게 작동하나요?,"@Transactional 어노테이션은 트랜잭션의 시작과 종료를 자동으로 관리합니다.
해당 어노테이션이 붙은 메서드가 실행되면, Spring은 트랜잭션을 시작하고 메서드가 정상적으로 끝나면 커밋을, 예외가 발생하면 롤백을 수행합니다. 트랜잭션 범위 내에서 데이터베이스 작업이 안전하게 처리되도록 보장해 줍니다.",FALSE
